# Matter power spectrum P(k) at redshift z=0
# for k=1.04906e-05 to 2118.28 h/Mpc,
# number of wavenumbers equal to 635
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.357139861885e-02       2.386488719510e+04 
       1.370092291248e-02       2.390553653476e+04 
       1.383048357952e-02       2.394411632244e+04 
       1.396008073968e-02       2.398064414245e+04 
       1.408971453561e-02       2.401514508494e+04 
       1.421938513263e-02       2.404765304995e+04 
       1.434909271831e-02       2.407818518366e+04 
       1.447883750224e-02       2.410676967427e+04 
       1.460861971577e-02       2.413341933873e+04 
       1.473843961174e-02       2.415818132942e+04 
       1.486829746429e-02       2.418106416978e+04 
       1.499819356872e-02       2.420209329345e+04 
       1.512812824131e-02       2.422130055606e+04 
       1.525810181920e-02       2.423870383997e+04 
       1.538811466032e-02       2.425433276164e+04 
       1.551816714329e-02       2.426819503078e+04 
       1.564825966739e-02       2.428033431806e+04 
       1.577839265252e-02       2.429075350592e+04 
       1.590856653921e-02       2.429949840429e+04 
       1.603878178863e-02       2.430656461073e+04 
       1.616903888260e-02       2.431199402944e+04 
       1.629933832371e-02       2.431580636274e+04 
       1.642968063532e-02       2.431801574569e+04 
       1.656006636172e-02       2.431866517398e+04 
       1.669049606819e-02       2.431772969346e+04 
       1.682097034118e-02       2.431529593182e+04 
       1.695148978840e-02       2.431132755495e+04 
       1.708205503906e-02       2.430588074802e+04 
       1.721266674398e-02       2.429894401213e+04 
       1.734332557586e-02       2.429058759891e+04 
       1.747403222944e-02       2.428079657614e+04 
       1.760478742177e-02       2.426959639799e+04 
       1.773559189244e-02       2.425700029482e+04 
       1.786644640389e-02       2.424304870260e+04 
       1.799735174162e-02       2.422774458452e+04 
       1.812830871458e-02       2.421111842604e+04 
       1.825931815542e-02       2.419317933011e+04 
       1.839038092085e-02       2.417393688174e+04 
       1.852149789202e-02       2.415344851914e+04 
       1.865266997483e-02       2.413172244916e+04 
       1.878389810036e-02       2.410873770405e+04 
       1.891518322526e-02       2.408456517617e+04 
       1.904652633217e-02       2.405921876148e+04 
       1.917792843016e-02       2.403269291897e+04 
       1.930939055516e-02       2.400499727558e+04 
       1.944091377048e-02       2.397616521378e+04 
       1.957249916728e-02       2.394620790665e+04 
       1.970414786504e-02       2.391514636165e+04 
       1.983586101217e-02       2.388305736585e+04 
       1.996763978646e-02       2.384983533720e+04 
       2.009948539575e-02       2.381560332090e+04 
       2.023139907841e-02       2.378037905757e+04 
       2.036338210404e-02       2.374410666483e+04 
       2.049543577404e-02       2.370682667519e+04 
       2.062756142226e-02       2.366859128757e+04 
       2.075976041572e-02       2.362937471748e+04 
       2.089203415523e-02       2.358925380330e+04 
       2.102438407615e-02       2.354818775988e+04 
       2.115681164912e-02       2.350622074197e+04 
       2.128931838083e-02       2.346334866662e+04 
       2.142190581476e-02       2.341959332267e+04 
       2.155457553205e-02       2.337501209813e+04 
       2.168732915230e-02       2.332956787421e+04 
       2.182016833443e-02       2.328329700896e+04 
       2.195309477760e-02       2.323621055141e+04 
       2.208611022209e-02       2.318834455900e+04 
       2.221921645027e-02       2.313965239045e+04 
       2.235241528757e-02       2.309024399901e+04 
       2.248570860349e-02       2.304010781641e+04 
       2.261909831261e-02       2.298918538222e+04 
       2.275258637571e-02       2.293755079928e+04 
       2.288617480082e-02       2.288519019012e+04 
       2.301986564441e-02       2.283219694344e+04 
       2.315366101251e-02       2.277847648467e+04 
       2.328756306197e-02       2.272407705254e+04 
       2.342157400167e-02       2.266909038737e+04 
       2.355569609382e-02       2.261346062367e+04 
       2.368993165531e-02       2.255716418279e+04 
       2.382428305905e-02       2.250032220569e+04 
       2.395875273540e-02       2.244280163864e+04 
       2.409334317362e-02       2.238476393696e+04 
       2.422805692337e-02       2.232616201204e+04 
       2.436289659631e-02       2.226699919816e+04 
       2.449786486762e-02       2.220726140531e+04 
       2.463296447775e-02       2.214705937167e+04 
       2.476819823405e-02       2.208631311981e+04 
       2.490356901259e-02       2.202509857660e+04 
       2.503907975995e-02       2.196334035366e+04 
       2.517473349512e-02       2.190111807157e+04 
       2.531053331144e-02       2.183844780486e+04 
       2.544648237862e-02       2.177532054156e+04 
       2.558258394480e-02       2.171174321729e+04 
       2.571884133870e-02       2.164774888072e+04 
       2.585525797187e-02       2.158334674711e+04 
       2.599183734095e-02       2.151855863349e+04 
       2.612858303005e-02       2.145331114503e+04 
       2.626549871322e-02       2.138773069774e+04 
       2.640258815698e-02       2.132174776985e+04 
       2.653985522295e-02       2.125543612999e+04 
       2.667730387060e-02       2.118874255500e+04 
       2.681493816000e-02       2.112173664887e+04 
       2.695276225481e-02       2.105439772950e+04 
       2.709078042525e-02       2.098668647304e+04 
       2.722899705126e-02       2.091880705752e+04 
       2.736741662574e-02       2.085052114822e+04 
       2.750604375790e-02       2.078192782911e+04 
       2.764488317674e-02       2.071311667394e+04 
       2.778393973470e-02       2.064403644365e+04 
       2.792321841135e-02       2.057465640494e+04 
       2.806272431734e-02       2.050502284583e+04 
       2.820246269840e-02       2.043518549479e+04 
       2.834243893954e-02       2.036513126518e+04 
       2.848265856939e-02       2.029484737037e+04 
       2.862312726473e-02       2.022432704393e+04 
       2.876385085519e-02       2.015362551857e+04 
       2.890483532810e-02       2.008271246230e+04 
       2.904608683361e-02       2.001160299193e+04 
       2.918761168989e-02       1.994031262589e+04 
       2.932941638869e-02       1.986890210328e+04 
       2.947150760101e-02       1.979728986762e+04 
       2.961389218302e-02       1.972550847153e+04 
       2.975657718228e-02       1.965361347269e+04 
       2.989956984418e-02       1.958153548508e+04 
       3.004287761862e-02       1.950933470057e+04 
       3.018650816701e-02       1.943694923107e+04 
       3.033046936958e-02       1.936459840857e+04 
       3.047476933296e-02       1.929203374722e+04 
       3.061941639815e-02       1.921939570839e+04 
       3.076441914872e-02       1.914661070926e+04 
       3.090978641953e-02       1.907381982914e+04 
       3.105552730572e-02       1.900086299393e+04 
       3.120165117215e-02       1.892788574122e+04 
       3.134816766322e-02       1.885479916999e+04 
       3.149508671325e-02       1.878163058354e+04 
       3.164241855718e-02       1.870839241212e+04 
       3.179017374191e-02       1.863515911917e+04 
       3.193836313807e-02       1.856183627955e+04 
       3.208699795242e-02       1.848850471364e+04 
       3.223608974079e-02       1.841505902929e+04 
       3.238565042168e-02       1.834164191059e+04 
       3.253569229051e-02       1.826813882029e+04 
       3.268622803454e-02       1.819468854472e+04 
       3.283727074859e-02       1.812119694265e+04 
       3.298883395154e-02       1.804763329834e+04 
       3.314093160359e-02       1.797411817933e+04 
       3.329357812450e-02       1.790052920316e+04 
       3.344678841272e-02       1.782697953204e+04 
       3.360057786554e-02       1.775338727642e+04 
       3.375496240030e-02       1.767989246661e+04 
       3.390995847673e-02       1.760628931518e+04 
       3.406558312047e-02       1.753279000578e+04 
       3.422185394792e-02       1.745927745330e+04 
       3.437878919245e-02       1.738571758143e+04 
       3.453640773202e-02       1.731227871725e+04 
       3.469472911841e-02       1.723881259102e+04 
       3.485377360811e-02       1.716535258811e+04 
       3.501356219496e-02       1.709188844329e+04 
       3.517411664469e-02       1.701857421261e+04 
       3.533545953155e-02       1.694514552633e+04 
